Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
18/12/2023 13:22:42,"2356","18.9","58","1008.2"
18/12/2023 13:27:42,"1248","20.8","52","1008.1"
18/12/2023 13:32:42,"967","21.2","49","1007.8"
18/12/2023 13:37:42,"811","20.8","48","1007.9"
18/12/2023 13:42:42,"1189","20.7","51","1007.8"
18/12/2023 13:47:42,"1224","20.6","51","1007.9"
18/12/2023 13:52:42,"1274","20.5","51","1007.9"
18/12/2023 13:57:42,"1236","20.2","52","1007.8"
18/12/2023 14:02:42,"1234","20.1","52","1007.9"
18/12/2023 14:07:42,"1219","19.9","53","1007.9"
18/12/2023 14:12:42,"1202","19.9","53","1007.8"
18/12/2023 14:17:42,"1280","19.8","54","1008.0"
18/12/2023 14:22:42,"1270","20.0","55","1007.9"
18/12/2023 14:27:42,"1261","20.3","55","1007.9"
18/12/2023 14:32:42,"1258","20.5","54","1007.9"
18/12/2023 14:37:42,"1239","20.6","54","1007.9"
18/12/2023 14:42:42,"1271","20.6","54","1007.7"
18/12/2023 14:47:42,"1280","20.6","54","1007.9"
18/12/2023 14:52:42,"1325","20.7","54","1008.1"
18/12/2023 14:57:42,"1293","20.7","54","1008.1"
18/12/2023 15:02:42,"1318","20.8","54","1008.0"
18/12/2023 15:07:42,"1381","21.0","54","1008.0"
18/12/2023 15:12:42,"1338","21.0","54","1008.2"
18/12/2023 15:17:42,"1408","21.1","54","1008.1"
18/12/2023 15:22:42,"781","20.6","47","1008.2"
18/12/2023 15:27:42,"802","19.5","50","1008.5"
18/12/2023 15:32:42,"1136","19.9","53","1008.5"
18/12/2023 15:37:42,"1163","20.1","53","1008.5"
18/12/2023 15:42:42,"1253","20.2","54","1008.5"
18/12/2023 15:47:42,"1253","20.4","54","1008.6"
18/12/2023 15:52:42,"1300","20.6","54","1008.7"
18/12/2023 15:57:42,"1286","20.5","54","1008.7"
18/12/2023 16:02:42,"1376","20.6","54","1008.5"
18/12/2023 16:07:42,"1390","20.6","54","1008.6"
18/12/2023 16:12:42,"1455","20.6","54","1008.8"
18/12/2023 16:17:42,"1444","20.6","54","1008.7"
18/12/2023 16:22:42,"1452","20.6","54","1008.6"
18/12/2023 16:27:42,"1411","20.6","55","1008.7"
18/12/2023 16:32:42,"1411","20.6","55","1008.6"
18/12/2023 16:37:42,"1418","20.6","55","1008.4"
18/12/2023 16:42:42,"1423","20.7","55","1008.4"
18/12/2023 16:47:42,"1407","20.7","55","1008.4"
18/12/2023 16:52:42,"1414","20.8","55","1008.4"
18/12/2023 16:57:42,"1412","21.1","54","1008.3"
18/12/2023 17:02:32,"1439","20.9","54","1008.4"
18/12/2023 17:07:32,"1455","20.9","54","1008.4"
18/12/2023 17:12:32,"1480","20.8","55","1008.6"
18/12/2023 17:17:32,"1485","20.7","55","1008.6"
18/12/2023 17:22:32,"1440","20.7","55","1008.5"
18/12/2023 17:27:32,"1432","20.6","55","1008.4"
18/12/2023 17:32:32,"1439","20.8","55","1008.3"
18/12/2023 17:37:32,"1452","21.0","54","1008.1"
18/12/2023 17:42:32,"1449","21.0","54","1008.1"
18/12/2023 17:47:32,"1469","21.0","54","1008.3"
18/12/2023 17:52:32,"1458","21.0","54","1008.4"
18/12/2023 17:57:32,"1494","20.9","54","1008.4"
18/12/2023 18:02:32,"1487","20.9","54","1008.5"
18/12/2023 18:07:32,"1365","21.0","55","1008.9"
18/12/2023 18:12:32,"1458","21.1","54","1009.0"
18/12/2023 18:17:32,"1511","21.0","54","1009.0"
18/12/2023 18:22:32,"1445","20.9","54","1009.0"
18/12/2023 18:27:32,"1385","20.8","54","1009.1"
18/12/2023 18:32:32,"1306","20.8","54","1009.1"
18/12/2023 18:37:32,"1320","20.8","54","1009.1"
18/12/2023 18:42:32,"1267","20.9","55","1009.2"
18/12/2023 18:47:32,"1344","21.0","56","1009.3"
18/12/2023 18:52:32,"1404","21.1","58","1009.2"
18/12/2023 18:57:32,"1378","21.2","57","1009.3"
18/12/2023 19:02:32,"1317","21.2","57","1009.3"
18/12/2023 19:07:32,"1334","21.2","59","1009.6"
18/12/2023 19:12:32,"1320","21.4","59","1009.6"
18/12/2023 19:17:32,"1299","21.5","58","1009.7"
18/12/2023 19:22:32,"1298","21.5","58","1009.7"
18/12/2023 19:27:32,"1255","21.5","58","1009.7"
18/12/2023 19:32:32,"1292","21.5","57","1009.8"
18/12/2023 19:37:32,"1197","21.4","57","1009.8"
18/12/2023 19:42:32,"1253","21.4","57","1009.7"
18/12/2023 19:47:32,"1330","21.4","56","1009.7"
18/12/2023 19:52:32,"1749","21.6","58","1009.7"
18/12/2023 19:57:32,"1710","21.5","57","1009.7"
18/12/2023 20:02:32,"1240","21.8","56","1009.3"
18/12/2023 20:07:32,"1202","21.2","54","1009.4"
18/12/2023 20:12:32,"1245","20.5","55","1009.5"
18/12/2023 20:17:32,"1373","20.2","56","1009.4"
18/12/2023 20:22:32,"1525","20.0","56","1009.5"
18/12/2023 20:27:32,"1678","19.9","57","1009.5"
18/12/2023 20:32:32,"1758","20.0","58","1009.4"
18/12/2023 20:37:32,"1839","19.9","58","1009.5"
18/12/2023 20:42:32,"1883","20.0","58","1009.4"
18/12/2023 20:47:32,"1909","20.0","58","1009.5"
18/12/2023 20:52:32,"2021","20.0","59","1009.7"
18/12/2023 20:57:32,"2051","20.0","59","1009.5"
18/12/2023 21:02:32,"2078","20.1","60","1009.6"
18/12/2023 21:07:32,"2147","20.1","59","1009.6"
18/12/2023 21:12:32,"2137","20.2","59","1009.6"
18/12/2023 21:17:32,"2249","20.2","60","1009.7"
18/12/2023 21:22:32,"1977","20.2","59","1009.8"
18/12/2023 21:27:32,"1953","20.2","59","1009.8"
18/12/2023 21:32:32,"1975","20.3","59","1009.8"
18/12/2023 21:37:32,"2077","20.3","59","1009.7"
18/12/2023 21:42:32,"2098","20.2","59","1009.7"
18/12/2023 21:47:32,"2110","20.2","59","1009.7"
18/12/2023 21:52:32,"2123","20.2","59","1009.9"
18/12/2023 21:57:32,"2110","20.2","60","1010.1"
18/12/2023 22:02:32,"2146","20.2","60","1010.0"
18/12/2023 22:07:32,"2198","20.2","60","1009.8"
18/12/2023 22:12:32,"2239","20.2","60","1009.9"
18/12/2023 22:17:32,"2237","20.2","60","1010.0"
18/12/2023 22:22:32,"2240","20.2","60","1010.1"
18/12/2023 22:27:32,"2283","20.1","60","1010.1"
18/12/2023 22:32:32,"2271","20.1","60","1009.9"
18/12/2023 22:37:32,"2364","20.2","60","1010.0"
18/12/2023 22:42:32,"2340","20.2","60","1010.1"
18/12/2023 22:47:32,"2337","20.2","60","1010.1"
18/12/2023 22:52:32,"2334","20.2","60","1010.4"
18/12/2023 22:57:32,"2420","20.2","60","1010.4"
18/12/2023 23:02:32,"2385","20.2","60","1010.5"
18/12/2023 23:07:32,"2422","20.2","60","1010.7"
18/12/2023 23:12:32,"2452","20.2","60","1010.8"
18/12/2023 23:17:32,"2409","20.2","60","1010.8"
18/12/2023 23:22:32,"2372","20.2","60","1010.7"
18/12/2023 23:27:32,"2435","20.2","61","1010.7"
18/12/2023 23:32:32,"2377","20.2","61","1010.7"
18/12/2023 23:37:32,"2400","20.2","61","1010.7"
18/12/2023 23:42:32,"2414","20.2","61","1010.8"
18/12/2023 23:47:32,"2374","20.2","61","1010.8"
18/12/2023 23:52:32,"2441","20.2","61","1010.8"
18/12/2023 23:57:32,"2409","20.1","61","1010.8"
19/12/2023 0:02:32,"2425","20.2","61","1010.9"
19/12/2023 0:07:32,"2425","20.2","61","1010.9"
19/12/2023 0:12:32,"2454","20.2","61","1011.0"
19/12/2023 0:17:32,"2482","20.2","61","1010.9"
19/12/2023 0:22:32,"2444","20.2","61","1010.9"
19/12/2023 0:27:32,"2447","20.2","61","1010.7"
19/12/2023 0:32:32,"2482","20.2","61","1010.8"
19/12/2023 0:37:32,"2496","20.2","61","1010.9"
19/12/2023 0:42:32,"2465","20.2","61","1011.0"
19/12/2023 0:47:32,"2473","20.2","61","1010.9"
19/12/2023 0:52:32,"2508","20.2","61","1011.1"
19/12/2023 0:57:32,"2455","20.2","61","1011.0"
19/12/2023 1:02:32,"2496","20.2","61","1011.0"
19/12/2023 1:07:32,"2453","20.2","61","1011.0"
19/12/2023 1:12:32,"2460","20.2","61","1011.0"
19/12/2023 1:17:32,"2546","20.2","61","1010.9"
19/12/2023 1:22:32,"2488","20.2","61","1011.1"
19/12/2023 1:27:32,"2481","20.1","61","1011.0"
19/12/2023 1:32:32,"2467","20.2","61","1011.0"
19/12/2023 1:37:32,"2450","20.3","61","1011.0"
19/12/2023 1:42:32,"2446","20.2","61","1010.9"
19/12/2023 1:47:32,"2449","20.3","62","1010.7"
19/12/2023 1:52:32,"2461","20.4","61","1010.5"
19/12/2023 1:57:31,"2469","20.3","61","1010.5"
19/12/2023 2:02:18,"2482","20.3","61","1010.6"
19/12/2023 2:07:18,"2466","20.3","61","1010.7"
19/12/2023 2:12:18,"2423","20.2","61","1010.6"
19/12/2023 2:17:18,"2460","20.2","61","1010.5"
19/12/2023 2:22:18,"2456","20.2","61","1010.5"
19/12/2023 2:27:18,"2448","20.2","61","1010.6"
19/12/2023 2:32:18,"2467","20.2","61","1010.7"
19/12/2023 2:37:18,"2463","20.2","61","1010.5"
19/12/2023 2:42:18,"2545","20.2","62","1010.6"
19/12/2023 2:47:18,"2475","20.2","62","1010.5"
19/12/2023 2:52:18,"2457","20.2","62","1010.3"
19/12/2023 2:57:18,"2453","20.2","62","1010.4"
19/12/2023 3:02:18,"2536","20.2","62","1010.5"
19/12/2023 3:07:18,"2520","20.1","62","1010.4"
19/12/2023 3:12:18,"2522","20.2","62","1010.3"
19/12/2023 3:17:18,"2485","20.1","62","1010.3"
19/12/2023 3:22:18,"2462","20.1","62","1010.4"
19/12/2023 3:27:18,"2513","20.1","62","1010.3"
19/12/2023 3:32:18,"2476","20.1","62","1010.1"
19/12/2023 3:37:18,"2462","20.1","62","1010.2"
19/12/2023 3:42:18,"2503","20.1","62","1010.2"
19/12/2023 3:47:18,"2437","20.1","62","1010.2"
19/12/2023 3:52:18,"2417","20.1","62","1010.2"
19/12/2023 3:57:18,"2440","20.1","62","1010.2"
19/12/2023 4:02:18,"2391","20.1","62","1010.2"
19/12/2023 4:07:18,"2420","20.1","62","1010.2"
19/12/2023 4:12:18,"2437","20.1","62","1010.0"
19/12/2023 4:17:18,"2406","20.1","62","1010.0"
19/12/2023 4:22:18,"2445","20.1","62","1010.0"
19/12/2023 4:27:18,"2376","20.1","62","1009.9"
19/12/2023 4:32:18,"2368","20.1","62","1010.0"
19/12/2023 4:37:18,"2445","20.1","62","1009.8"
19/12/2023 4:42:18,"2412","20.1","62","1009.9"
19/12/2023 4:47:18,"2521","20.2","62","1009.9"
19/12/2023 4:52:18,"2457","20.3","62","1009.8"
19/12/2023 4:57:18,"2438","20.3","62","1009.7"
19/12/2023 5:02:18,"2452","20.3","62","1009.7"
19/12/2023 5:07:18,"2447","20.3","62","1009.8"
19/12/2023 5:12:18,"2403","20.3","62","1009.9"
19/12/2023 5:17:18,"2369","20.3","62","1009.9"
19/12/2023 5:22:18,"2415","20.3","62","1009.8"
19/12/2023 5:27:18,"2386","20.3","62","1009.8"
19/12/2023 5:32:18,"2403","20.2","62","1009.8"
19/12/2023 5:37:18,"2418","20.2","62","1009.7"
19/12/2023 5:42:18,"2415","20.2","62","1009.7"
19/12/2023 5:47:18,"2346","20.2","62","1009.7"
19/12/2023 5:52:18,"2353","20.1","62","1009.7"
19/12/2023 5:57:18,"2369","20.1","62","1009.6"
19/12/2023 6:02:18,"2384","20.1","62","1009.5"
19/12/2023 6:07:18,"2301","20.1","62","1009.4"
19/12/2023 6:12:18,"2378","20.0","62","1009.4"
19/12/2023 6:17:18,"2347","20.0","62","1009.4"
19/12/2023 6:22:18,"2317","20.1","62","1009.3"
19/12/2023 6:27:18,"2397","20.1","62","1009.2"
19/12/2023 6:32:18,"2426","20.1","62","1009.2"
19/12/2023 6:37:18,"2363","20.0","62","1009.1"
19/12/2023 6:42:18,"2354","20.1","62","1009.1"
19/12/2023 6:47:18,"2377","20.0","62","1008.9"
19/12/2023 6:52:18,"2324","20.1","62","1008.9"
19/12/2023 6:57:18,"2351","20.1","62","1008.9"
19/12/2023 7:02:18,"2314","20.1","62","1008.9"
19/12/2023 7:07:18,"2363","20.1","62","1009.0"
19/12/2023 7:12:18,"2325","20.1","62","1009.0"
19/12/2023 7:17:18,"2320","20.1","62","1008.9"
19/12/2023 7:22:18,"2264","20.1","62","1008.9"
19/12/2023 7:27:18,"2303","20.0","62","1008.8"
19/12/2023 7:32:18,"2279","20.0","62","1008.8"
19/12/2023 7:37:18,"2323","20.0","62","1008.9"
19/12/2023 7:42:18,"2294","20.0","62","1008.8"
19/12/2023 7:47:18,"2321","20.1","62","1008.8"
19/12/2023 7:52:18,"2325","20.1","62","1008.8"
19/12/2023 7:57:18,"2356","20.1","62","1008.7"
19/12/2023 8:02:18,"2377","20.1","62","1008.7"
19/12/2023 8:07:18,"2303","20.2","62","1008.6"
19/12/2023 8:12:18,"2344","20.2","62","1008.5"
19/12/2023 8:17:18,"2367","20.2","62","1008.4"
19/12/2023 8:22:18,"2315","20.2","62","1008.5"
19/12/2023 8:27:18,"2343","20.2","62","1008.4"
19/12/2023 8:32:18,"2406","20.1","62","1008.2"
19/12/2023 8:37:18,"2327","20.1","62","1008.2"
19/12/2023 8:42:18,"2265","20.1","62","1008.2"
19/12/2023 8:47:18,"2307","20.2","62","1008.2"
19/12/2023 8:52:18,"2351","20.2","62","1008.1"
19/12/2023 8:57:18,"2300","20.2","61","1008.1"
19/12/2023 9:02:18,"2232","20.1","61","1008.0"
19/12/2023 9:07:18,"2203","20.1","61","1008.0"
19/12/2023 9:12:18,"2237","20.1","61","1007.8"
19/12/2023 9:17:18,"2220","20.0","61","1007.7"
19/12/2023 9:22:18,"2206","19.9","61","1007.6"
